Galaxy	c	c16	c84	v200	v16	v84	Yd	Yd16	Yd84	Yb	Yb16	Yb84	BIC

DDO064	24.39	20.2	29.48	36.58	26.66	47.83	0.55	0.34	0.87	0	0	0	57.06
D631-7	12.37	10.66	14.04	57.15	49.46	66.46	0.44	0.31	0.61	0	0	0	54.58
DDO154	18.25	17.37	19.0	36.29	35.41	37.27	0.49	0.34	0.69	0	0	0	4.38
DDO161	10.54	9.85	11.26	53.98	51.84	56.4	0.51	0.35	0.69	0	0	0	59.92
DDO168	19.31	17.1	21.29	48.88	42.37	56.99	0.5	0.34	0.72	0	0	0	53.48
ESO079-G014	14.59	10.64	18.42	137.87	128.52	154.14	0.39	0.25	0.63	0	0	0	85.57
DDO170	14.08	12.26	15.73	43.25	41.36	45.27	0.5	0.33	0.76	0	0	0	20.07
ESO116-G012	22.05	18.01	26.21	74.8	70.43	81.91	0.52	0.37	0.73	0	0	0	51.18
ESO563-G021	6.52	6.07	6.99	366.14	317.33	401.14	1.02	0.95	1.07	0	0	0	582.29
F561-1	15.72	9.95	23.66	34.06	32.35	37.85	0.32	0.23	0.44	0	0	0	32.45
F563-V2	27.42	21.22	34.33	75.09	64.16	90.42	0.64	0.4	1.0	0	0	0	63.99
F563-1	23.27	19.1	27.78	74.11	67.47	81.54	0.56	0.35	0.89	0	0	0	103.08
F568-V1	27.08	21.9	33.0	73.19	63.83	83.77	0.66	0.41	1.02	0	0	0	88.19
F571-8	22.65	20.91	24.56	110.28	102.81	119.49	0.21	0.17	0.26	0	0	0	58.44
F571-V1	14.24	10.91	19.26	63.32	52.3	82.41	0.52	0.34	0.8	0	0	0	33.58
F579-V1	23.81	17.09	32.8	70.97	63.74	78.41	0.6	0.4	0.93	0	0	0	79.11
F574-1	17.31	13.63	20.99	70.54	65.66	77.29	0.44	0.29	0.68	0	0	0	59.38
F583-1	18.5	16.6	20.3	61.58	56.04	67.93	0.5	0.32	0.75	0	0	0	109.43
IC2574	8.57	8.23	9.21	77.02	65.54	83.33	0.58	0.45	0.69	0	0	0	129.48
IC4202	44.34	42.18	46.3	149.6	147.12	152.1	0.06	0.05	0.07	0.08	0.06	0.1	297.88
NGC0024	26.29	16.32	38.0	64.68	60.0	73.74	0.89	0.55	1.34	0	0	0	142.82
KK98-251	14.03	12.33	16.01	32.51	25.48	38.87	0.51	0.33	0.78	0	0	0	33.01
NGC0100	15.68	12.62	19.18	71.08	62.57	87.37	0.5	0.33	0.76	0	0	0	82.0
NGC0055	12.6	11.11	14.02	68.45	63.93	74.0	0.3	0.22	0.42	0	0	0	70.44
NGC0289	12.35	8.8	16.75	124.33	117.58	132.89	0.51	0.41	0.61	0	0	0	180.87
NGC0247	13.22	10.44	15.8	71.18	66.66	76.88	0.53	0.38	0.76	0	0	0	117.62
NGC0801	9.58	6.05	14.66	148.74	139.16	161.79	0.48	0.42	0.53	0	0	0	126.25
NGC0300	17.92	14.02	21.77	66.9	62.91	73.95	0.6	0.41	0.87	0	0	0	103.43
NGC0891	24.45	19.21	31.33	132.18	124.34	141.65	0.22	0.17	0.28	0.52	0.41	0.64	112.72
NGC1003	8.21	7.58	8.94	94.4	90.66	98.52	0.84	0.75	0.94	0	0	0	166.03
NGC1090	10.64	6.84	18.55	120.68	107.9	134.59	0.44	0.27	0.57	0	0	0	138.25
NGC1705	40.23	28.66	55.34	39.36	35.35	45.15	0.99	0.65	1.43	0	0	0	57.16
NGC2366	20.6	18.63	22.54	35.54	33.35	38.21	0.37	0.26	0.51	0	0	0	69.71
NGC2403	19.2	18.4	20.05	83.9	82.61	85.24	0.57	0.55	0.6	0	0	0	816.88
NGC2683	19.59	11.85	31.99	108.27	96.0	121.97	0.55	0.45	0.66	0.7	0.45	1.06	66.79
NGC2903	41.74	27.75	53.24	105.22	100.31	115.17	0.23	0.17	0.32	0	0	0	286.92
NGC2841	9.81	7.72	13.49	216.35	201.66	232.7	0.98	0.82	1.12	0.93	0.81	1.04	270.28
NGC2915	33.64	28.43	40.13	54.74	51.35	58.42	0.46	0.3	0.68	0	0	0	149.16
NGC2976	19.11	11.21	27.94	82.35	69.39	95.14	0.66	0.46	0.83	0	0	0	89.62
NGC2998	18.17	12.4	25.52	140.71	133.53	149.13	0.44	0.35	0.54	0	0	0	69.44
NGC3109	15.63	13.13	17.56	60.5	53.9	71.93	0.59	0.42	0.87	0	0	0	60.01
NGC3198	17.25	14.06	21.18	102.16	98.49	106.46	0.38	0.28	0.47	0	0	0	167.52
NGC3726	6.02	5.25	8.1	197.75	131.04	218.89	0.58	0.43	0.64	0	0	0	69.98
NGC3521	11.7	10.54	13.72	195.02	147.2	243.61	0.56	0.51	0.59	0	0	0	222.74
NGC3769	15.04	11.28	20.22	84.8	76.59	94.89	0.39	0.29	0.5	0	0	0	60.96
NGC3741	14.46	7.64	17.74	40.83	36.1	59.66	0.53	0.31	0.95	0	0	0	58.56
NGC3893	17.01	11.95	25.04	121.93	108.47	145.39	0.45	0.35	0.56	0	0	0	55.43
NGC3877	19.17	13.7	25.19	110.03	102.86	118.89	0.29	0.2	0.39	0	0	0	105.53
NGC3917	10.44	6.42	18.91	112.39	96.4	158.59	0.69	0.3	1.1	0	0	0	100.72
NGC3949	13.8	9.1	20.2	132.67	94.07	183.6	0.48	0.36	0.58	0	0	0	37.73
NGC3953	17.89	10.76	28.23	133.58	119.56	149.77	0.46	0.37	0.54	0	0	0	38.75
NGC3992	17.96	11.12	28.09	162.64	148.6	177.99	0.6	0.47	0.74	0	0	0	42.6
NGC3972	16.75	12.25	21.66	96.96	85.84	121.12	0.53	0.36	0.77	0	0	0	46.08
NGC4010	13.42	10.65	17.07	107.4	91.47	137.92	0.46	0.31	0.65	0	0	0	64.66
NGC4013	6.62	6.28	7.45	186.25	156.78	216.15	0.59	0.48	0.67	0.84	0.55	1.24	161.18
NGC4051	15.73	8.8	26.35	98.04	85.95	129.86	0.36	0.28	0.45	0	0	0	38.88
NGC4088	7.07	5.97	12.98	193.09	114.92	218.17	0.4	0.28	0.45	0	0	0	60.1
NGC4085	17.37	12.98	21.97	117.94	93.78	141.47	0.38	0.28	0.48	0	0	0	47.22
NGC4138	19.87	10.65	33.77	96.62	80.67	122.42	0.58	0.43	0.75	0.72	0.46	1.08	49.75
NGC4100	18.91	12.63	27.58	112.56	104.04	121.58	0.57	0.47	0.67	0	0	0	120.92
NGC4183	16.84	12.31	21.72	72.13	67.71	77.76	0.52	0.36	0.73	0	0	0	93.64
NGC4157	7.27	6.37	11.0	189.9	136.03	232.01	0.5	0.37	0.57	0.67	0.43	1.0	88.88
NGC4217	13.75	10.87	17.78	144.57	128.35	174.83	0.82	0.51	1.23	0.22	0.18	0.27	126.21
NGC4214	27.84	20.18	40.22	49.1	41.16	64.38	0.86	0.6	1.18	0	0	0	70.25
NGC4559	13.15	9.48	17.36	85.34	78.52	96.72	0.39	0.28	0.51	0	0	0	123.09
NGC5005	12.09	7.76	17.93	218.66	158.73	300.91	0.52	0.39	0.65	0.54	0.42	0.66	120.79
NGC5033	31.82	26.91	36.63	126.41	122.93	130.79	0.3	0.22	0.4	0.4	0.31	0.5	132.3
NGC5055	28.46	25.69	31.08	119.04	117.06	121.24	0.21	0.19	0.23	0	0	0	119.52
NGC5371	40.34	33.33	47.93	119.49	114.16	124.79	0.3	0.25	0.35	0	0	0	100.74
NGC5907	25.96	16.75	35.33	138.56	133.78	145.64	0.42	0.34	0.52	0	0	0	115.39
NGC5585	15.65	14.45	17.02	68.26	65.0	72.13	0.53	0.47	0.59	0	0	0	149.23
NGC5985	37.19	32.48	41.26	165.86	161.29	171.62	0.4	0.28	0.57	0.69	0.45	1.03	195.68
NGC6015	15.85	13.0	19.2	103.23	99.51	107.54	0.63	0.55	0.7	0	0	0	435.64
NGC6195	5.28	4.61	8.29	297.97	197.39	332.53	0.42	0.29	0.5	0.74	0.62	0.77	135.19
NGC6503	20.05	17.94	22.5	75.92	73.81	78.16	0.43	0.38	0.47	0	0	0	90.73
NGC6674	3.18	3.03	6.67	327.39	193.78	336.4	1.31	0.8	1.36	0.88	0.55	1.34	66.56
NGC6946	11.01	8.48	14.83	124.4	114.44	142.2	0.47	0.4	0.54	0.5	0.45	0.56	283.72
NGC7331	9.93	8.64	12.14	184.68	171.8	198.31	0.36	0.32	0.39	0.6	0.4	0.87	150.82
NGC7814	20.01	14.66	26.94	138.89	128.81	153.65	0.62	0.4	0.96	0.56	0.48	0.65	75.31
PGC51017	6.49	4.51	11.4	21.05	14.85	24.65	0.33	0.23	0.46	0	0	0	37.55
UGC00128	11.59	10.0	13.07	95.17	93.2	98.06	0.8	0.6	1.04	0	0	0	103.97
UGC00731	26.42	23.37	29.63	44.78	42.41	47.31	0.61	0.36	1.01	0	0	0	37.92
UGC01230	17.53	13.15	22.75	73.35	66.0	81.71	0.5	0.33	0.76	0	0	0	67.23
UGC01281	18.86	16.44	21.47	47.91	40.71	59.1	0.51	0.33	0.79	0	0	0	93.72
UGC02487	16.3	10.07	25.66	224.05	212.86	240.25	1.02	0.83	1.19	0.58	0.4	0.81	127.57
UGC02259	30.87	24.18	37.1	48.99	46.59	52.01	0.72	0.48	1.09	0	0	0	24.12
UGC02916	109.78	90.65	126.95	95.95	93.59	101.86	0.69	0.5	0.77	0.12	0.09	0.16	359.33
UGC02885	8.83	6.12	12.09	232.19	214.07	263.0	0.42	0.29	0.57	1.0	0.87	1.13	112.23
UGC02953	18.93	16.27	22.31	184.13	179.4	188.83	0.53	0.5	0.56	0.55	0.52	0.58	1001.54
UGC03205	23.64	15.39	34.31	135.2	127.1	144.93	0.44	0.34	0.54	0.77	0.58	0.94	323.55
UGC03546	16.37	11.0	23.36	132.02	123.33	144.31	0.46	0.34	0.6	0.41	0.35	0.48	162.87
UGC03580	11.79	11.12	12.55	95.31	92.26	98.61	0.54	0.49	0.59	0.18	0.15	0.22	239.9
UGC04305	8.84	3.59	11.99	23.47	22.57	46.9	0.3	0.22	0.59	0	0	0	124.21
UGC04278	16.61	15.19	18.74	90.23	71.65	102.33	0.63	0.41	0.9	0	0	0	105.67
UGC04325	34.3	26.44	42.08	51.38	48.33	54.81	0.62	0.39	0.98	0	0	0	34.32
UGC04499	17.18	13.5	21.06	49.49	44.95	55.99	0.49	0.33	0.72	0	0	0	29.24
UGC05005	9.92	7.54	12.66	80.91	67.56	101.22	0.48	0.31	0.73	0	0	0	61.18
UGC05253	22.66	20.48	24.68	152.38	149.22	156.05	0.18	0.13	0.24	0.59	0.57	0.61	424.74
UGC05716	16.78	14.74	19.0	50.03	48.52	51.98	1.01	0.72	1.33	0	0	0	28.65
UGC05986	27.02	20.58	32.25	76.78	73.2	83.89	0.45	0.29	0.73	0	0	0	65.36
UGC05721	48.32	39.3	58.59	44.39	41.86	47.19	0.73	0.51	1.0	0	0	0	92.87
UGC06446	27.45	21.74	33.45	48.94	45.27	53.16	0.71	0.46	1.08	0	0	0	65.58
UGC06399	18.64	14.75	22.75	62.55	54.44	74.81	0.57	0.36	0.86	0	0	0	36.37
UGC06628	16.01	8.5	24.6	33.51	31.54	44.76	0.33	0.23	0.46	0	0	0	45.09
UGC06614	6.82	5.44	8.95	194.32	163.87	243.35	0.45	0.3	0.68	0.55	0.42	0.7	78.93
UGC06667	23.73	20.73	26.78	59.06	54.91	63.85	0.57	0.37	0.87	0	0	0	29.4
UGC06786	23.6	19.93	27.35	142.24	137.42	148.55	0.44	0.34	0.55	0.68	0.61	0.75	195.75
UGC06787	7.86	7.71	8.01	286.8	269.64	304.83	2.02	1.95	2.08	0.46	0.44	0.48	1448.21
UGC06818	13.79	12.01	15.83	75.0	59.31	82.69	0.42	0.29	0.6	0	0	0	39.99
UGC06917	17.44	13.21	21.92	74.7	67.71	85.78	0.51	0.34	0.75	0	0	0	42.42
UGC06923	17.1	13.11	22.35	64.38	48.26	85.74	0.52	0.35	0.76	0	0	0	28.08
UGC06930	16.14	11.67	22.01	70.96	63.93	80.35	0.51	0.34	0.73	0	0	0	45.83
UGC06983	20.86	15.92	26.26	69.47	64.25	76.24	0.58	0.39	0.84	0	0	0	74.95
UGC06973	24.98	22.54	28.51	127.54	109.18	155.87	0.19	0.15	0.23	0.47	0.33	0.65	50.48
UGC07125	10.07	7.79	12.37	44.69	42.09	48.85	0.34	0.24	0.48	0	0	0	38.36
UGC07151	17.46	11.25	24.33	50.32	44.85	63.29	0.61	0.38	0.98	0	0	0	46.93
UGC07261	22.56	15.37	32.58	44.4	38.47	55.09	0.6	0.4	0.86	0	0	0	30.78
UGC07524	15.96	13.57	18.33	55.21	52.51	58.6	0.44	0.31	0.62	0	0	0	93.65
UGC07399	40.7	33.46	48.35	57.39	53.8	61.75	0.8	0.54	1.17	0	0	0	34.88
UGC07690	26.19	14.83	42.22	32.35	28.32	43.24	0.64	0.44	0.89	0	0	0	28.28
UGC07603	32.08	26.41	38.15	40.64	37.32	45.29	0.58	0.38	0.85	0	0	0	36.29
UGC08490	30.05	23.09	38.16	46.52	44.27	49.73	0.84	0.6	1.14	0	0	0	91.65
UGC08286	32.13	25.83	37.95	49.18	47.59	51.04	0.55	0.35	0.85	0	0	0	54.69
UGC08550	27.63	20.99	34.84	34.42	32.06	38.06	0.74	0.47	1.12	0	0	0	28.83
UGC08699	12.53	8.88	17.98	129.25	117.16	148.8	0.72	0.53	0.94	0.67	0.61	0.72	186.73
UGC09133	10.68	8.87	12.91	177.02	173.11	181.19	0.63	0.57	0.69	0.5	0.48	0.52	655.25
UGC09037	10.7	8.72	13.21	123.82	111.99	141.9	0.23	0.17	0.3	0	0	0	116.92
UGC09992	23.97	11.84	42.0	20.28	18.25	33.8	0.5	0.33	0.73	0	0	0	22.73
UGC10310	18.71	13.97	24.83	46.52	40.27	55.48	0.55	0.36	0.81	0	0	0	30.27
UGC11455	5.96	5.54	6.49	299.75	261.3	345.01	0.57	0.52	0.61	0	0	0	302.96
UGC12506	21.96	15.29	29.53	154.29	143.89	164.37	0.68	0.45	0.91	0	0	0	178.83
UGC11914	20.17	18.76	21.45	284.44	240.97	300.14	0.51	0.44	0.56	1.03	1.0	1.05	324.29
UGCA442	20.35	18.19	22.57	41.7	39.69	44.16	0.53	0.33	0.84	0	0	0	19.55
UGC12632	18.48	15.16	21.86	46.87	43.93	50.23	0.53	0.35	0.8	0	0	0	46.16
UGCA444	15.47	10.68	25.14	32.45	21.78	40.93	0.48	0.32	0.74	0	0	0	110.62
