Galaxy	rho_dm0	rho16	rho84	sigma_0	sig16	sig84	Yd	Yd16	Yd84	Yb	Yb16	Yb84	BIC	Flag?

DDO170	1.31	1.2	1.42	36.9	36.3	37.52	0.49	0.39	0.61	0.0	0.0	0.0	16.78	
ESO079-G014	0.93	0.91	0.95	19.71	19.1	20.03	0.38	0.37	0.39	0.0	0.0	0.0	6999.84	
F561-1	1.54	1.29	1.84	30.6	28.87	32.24	0.34	0.29	0.41	0.0	0.0	0.0	31.01	
D631-7	1.28	1.24	1.35	45.88	44.57	46.81	0.33	0.28	0.39	0.0	0.0	0.0	49.91	Flag
F571-8	4.69	4.26	5.16	99.66	96.83	102.8	0.2	0.18	0.22	0.0	0.0	0.0	59.71	Flag
DDO168	2.61	2.44	2.83	47.26	44.86	49.35	0.44	0.36	0.54	0.0	0.0	0.0	53.09	Flag
F563-V2	6.67	5.04	8.74	77.76	72.64	83.81	0.63	0.49	0.8	0.0	0.0	0.0	63.71	Flag
DDO154	2.34	2.27	2.42	32.32	31.99	32.67	0.44	0.37	0.52	0.0	0.0	0.0	1.57	
F563-1	3.66	3.0	4.44	67.68	65.3	70.22	0.55	0.44	0.7	0.0	0.0	0.0	102.43	
F568-V1	7.1	5.83	8.78	74.01	70.57	77.69	0.59	0.46	0.76	0.0	0.0	0.0	88.28	
DDO064	3.84	3.21	4.65	36.25	31.95	41.59	0.55	0.44	0.69	0.0	0.0	0.0	56.76	Flag
DDO161	0.86	0.82	0.92	44.51	43.87	45.21	0.4	0.33	0.46	0.0	0.0	0.0	69.46	
F571-V1	1.68	1.29	2.2	53.56	50.67	56.89	0.52	0.41	0.64	0.0	0.0	0.0	33.63	
F574-1	0.98	0.94	1.03	18.26	17.28	19.12	2.74	2.63	2.85	0.0	0.0	0.0	100.5	
ESO116-G012	5.55	4.87	6.27	77.33	75.05	80.03	0.58	0.49	0.68	0.0	0.0	0.0	51.96	Flag
KK98-251	1.42	1.29	1.6	24.84	22.79	26.8	0.47	0.38	0.58	0.0	0.0	0.0	35.98	
F579-V1	12.88	9.06	18.6	70.14	67.66	72.79	0.51	0.4	0.66	0.0	0.0	0.0	83.31	
F583-1	2.03	1.84	2.25	52.04	49.89	54.35	0.52	0.41	0.64	0.0	0.0	0.0	107.91	
NGC0100	0.88	0.81	1.02	21.45	18.07	23.52	1.61	1.55	1.67	0.0	0.0	0.0	255.53	
ESO563-G021	10.75	10.39	11.11	208.52	206.98	210.15	0.2	0.17	0.23	0.0	0.0	0.0	313.09	Flag
NGC0055	1.24	1.15	1.33	61.34	59.6	63.18	0.36	0.31	0.42	0.0	0.0	0.0	66.48	
IC2574	0.71	0.7	0.72	34.42	33.9	34.95	0.22	0.19	0.25	0.0	0.0	0.0	202.8	
NGC0247	0.66	0.59	0.74	73.84	72.98	75.26	1.89	1.82	1.96	0.0	0.0	0.0	149.86	
NGC0024	26.44	21.78	30.98	74.42	73.0	76.18	0.69	0.53	0.87	0.0	0.0	0.0	140.68	Flag
NGC0801	16.66	11.57	25.3	172.49	167.15	178.1	0.48	0.42	0.53	0.0	0.0	0.0	107.85	
IC4202	19.61	18.96	20.28	154.36	153.23	155.45	0.24	0.21	0.27	0.09	0.08	0.1	265.59	Flag
NGC0300	3.41	2.95	3.87	64.74	62.89	67.05	0.67	0.55	0.79	0.0	0.0	0.0	104.42	Flag
NGC1705	153.17	103.36	251.4	50.95	49.88	52.12	0.6	0.49	0.75	0.0	0.0	0.0	57.82	Flag
NGC2366	2.66	2.44	2.9	34.58	33.63	35.64	0.36	0.3	0.43	0.0	0.0	0.0	67.21	
NGC0891	90.41	72.05	111.19	182.44	178.01	187.35	0.23	0.21	0.26	0.35	0.31	0.39	161.15	Flag
NGC2683	25.07	19.83	31.83	141.81	139.15	144.86	0.42	0.36	0.48	0.63	0.51	0.77	71.06	
NGC1090	7.65	6.56	8.76	114.09	112.16	116.47	0.38	0.33	0.43	0.0	0.0	0.0	98.45	
NGC0289	41.18	34.09	51.56	131.75	129.64	133.98	0.4	0.35	0.45	0.0	0.0	0.0	176.03	
NGC1003	1.92	1.82	2.02	80.63	79.58	81.68	0.71	0.66	0.75	0.0	0.0	0.0	154.98	
