Galaxy	c	c16	c84	v200	v16	v84	Yd	Yd16	Yd84	Yb	Yb16	Yb84	BIC
D631-7	5.31	4.88	6.04	74.3	65.84	77.1	0.3	0.21	0.42	0	0	0	131.66
DDO064	11.85	8.77	17.96	42.41	28.04	54.45	0.52	0.33	0.81	0	0	0	62.94
DDO154	7.71	7.14	8.54	55.22	50.6	59.06	0.28	0.2	0.39	0	0	0	90.36
DDO161	4.2	3.56	5.06	80.26	70.62	90.8	0.32	0.22	0.45	0	0	0	81.24
DDO168	7.74	7.08	8.81	64.43	56.54	67.14	0.43	0.29	0.64	0	0	0	122.86
DDO170	8.5	6.96	10.2	49.64	45.29	55.51	0.49	0.32	0.75	0	0	0	23.71
ESO079-G014	6.79	5.32	8.73	197.06	162.17	227.32	0.56	0.39	0.75	0	0	0	104.34
ESO116-G012	10.34	8.22	12.98	110.48	93.76	131.58	0.47	0.33	0.63	0	0	0	71.43
ESO563-G021	4.54	3.62	6.23	368.18	295.27	431.19	0.88	0.82	0.93	0	0	0	619.66
F561-1	9.74	6.62	13.81	34.97	32.7	40.99	0.35	0.24	0.49	0	0	0	30.5
F563-1	10.92	7.77	14.68	90.23	75.62	113.17	0.53	0.34	0.82	0	0	0	109.75
F563-V2	11.86	8.99	16.92	114.26	82.12	137.51	0.56	0.35	0.89	0	0	0	69.94
F568-V1	16.97	11.91	23.39	87.83	70.49	116.01	0.55	0.35	0.87	0	0	0	90.46
F571-8	8.93	8.22	10.14	164.1	146.22	170.88	0.14	0.11	0.18	0	0	0	97.14
F571-V1	10.78	6.65	16.86	64.53	51.2	89.51	0.51	0.33	0.79	0	0	0	36.07
F574-1	10.96	8.21	13.98	82.4	70.29	101.19	0.55	0.35	0.85	0	0	0	70.12
F579-V1	22.88	16.09	31.5	67.25	56.2	81.95	0.56	0.35	0.87	0	0	0	79.89
F583-1	7.27	5.68	9.21	86.21	69.76	108.21	0.51	0.33	0.82	0	0	0	142.06
IC2574	2.08	1.84	2.3	93.87	91.87	94.34	0.8	0.61	0.99	0	0	0	1301.63
IC4202	24.73	23.04	26.5	132.59	124.12	140.87	0.53	0.44	0.63	0.11	0.09	0.15	684.26
KK98-251	6.22	4.69	8.87	33.55	23.66	44.17	0.54	0.35	0.84	0	0	0	63.3
NGC0024	19.95	11.48	27.81	67.93	61.1	85.8	1.0	0.6	1.43	0	0	0	142.71
NGC0055	5.07	4.49	6.09	105.95	89.94	115.35	0.29	0.21	0.4	0	0	0	109.17
NGC0100	7.43	6.2	9.52	101.34	81.72	112.72	0.41	0.28	0.56	0	0	0	97.38
NGC0247	8.26	6.85	9.49	89.36	78.33	102.97	0.62	0.4	0.92	0	0	0	120.34
NGC0289	10.55	7.91	13.85	121.01	113.65	130.88	0.59	0.47	0.7	0	0	0	180.03
NGC0300	9.48	7.11	11.93	89.79	77.86	109.86	0.5	0.33	0.7	0	0	0	108.33
NGC0801	5.42	3.66	7.7	156.71	139.4	188.03	0.59	0.55	0.62	0	0	0	111.09
NGC0891	24.03	18.46	30.11	123.76	115.06	136.91	0.23	0.18	0.28	0.52	0.41	0.64	111.77
NGC1003	6.01	5.08	7.0	105.47	98.24	114.78	0.64	0.53	0.74	0	0	0	159.95
NGC1090	12.02	8.54	15.85	108.03	101.68	119.28	0.47	0.38	0.57	0	0	0	127.65
NGC1705	31.32	20.37	44.65	42.54	36.33	53.38	0.74	0.45	1.2	0	0	0	59.05
NGC2366	7.15	6.41	8.6	59.32	50.14	64.23	0.32	0.22	0.44	0	0	0	132.17
NGC2403	21.78	20.21	23.49	80.31	78.64	82.16	0.32	0.27	0.37	0	0	0	743.19
NGC2683	15.14	9.09	23.9	99.04	87.13	118.02	0.62	0.5	0.73	0.71	0.46	1.1	66.07
NGC2841	8.93	7.12	11.23	214.3	197.06	236.78	1.07	0.95	1.18	0.94	0.83	1.06	269.6
NGC2903	34.53	30.0	39.68	99.95	97.2	103.18	0.27	0.24	0.31	0	0	0	281.36
NGC2915	19.63	14.78	25.61	58.18	51.55	67.7	0.43	0.28	0.63	0	0	0	159.33
NGC2976	7.02	4.78	9.89	65.31	52.39	104.96	0.71	0.61	0.8	0	0	0	108.82
NGC2998	12.75	7.95	20.37	133.13	122.32	151.53	0.56	0.38	0.71	0	0	0	82.6
NGC3109	5.38	5.09	5.7	86.94	83.67	88.11	0.47	0.31	0.72	0	0	0	330.18
NGC3198	14.11	12.24	16.14	102.29	99.64	105.65	0.46	0.39	0.53	0	0	0	171.23
NGC3521	8.36	5.87	13.53	199.18	140.27	270.88	0.52	0.49	0.55	0	0	0	224.55
NGC3726	7.81	4.67	12.0	126.0	103.13	173.0	0.43	0.34	0.51	0	0	0	75.62
NGC3741	7.2	6.12	9.02	56.07	46.38	64.32	0.48	0.32	0.71	0	0	0	52.15
NGC3769	13.49	9.62	18.43	84.8	74.6	98.6	0.39	0.29	0.52	0	0	0	61.92
NGC3877	19.17	13.93	24.98	96.58	82.05	119.91	0.34	0.24	0.44	0	0	0	107.31
NGC3893	14.29	8.24	22.16	126.37	102.53	182.45	0.47	0.37	0.56	0	0	0	56.62
NGC3917	7.0	4.72	9.61	123.54	96.86	165.88	0.8	0.61	0.98	0	0	0	104.5
NGC3949	10.8	6.84	17.68	136.7	90.61	196.09	0.43	0.33	0.52	0	0	0	37.44
NGC3953	12.02	6.09	23.57	132.0	108.04	178.51	0.55	0.41	0.68	0	0	0	43.8
NGC3972	9.73	7.36	13.62	134.46	99.17	162.26	0.47	0.32	0.67	0	0	0	48.57
NGC3992	14.55	8.15	23.03	146.28	133.23	171.23	0.7	0.5	0.88	0	0	0	44.42
NGC4010	7.89	6.12	10.71	135.56	103.67	159.79	0.39	0.28	0.54	0	0	0	71.58
NGC4013	5.72	4.0	8.32	176.08	142.28	227.3	0.51	0.43	0.59	0.82	0.54	1.21	164.76
NGC4051	11.8	6.6	19.79	98.04	80.81	149.45	0.42	0.32	0.52	0	0	0	40.16
NGC4085	10.15	7.33	14.42	134.23	90.54	160.04	0.33	0.24	0.43	0	0	0	54.48
NGC4088	9.28	5.35	15.02	119.75	96.69	171.53	0.33	0.27	0.39	0	0	0	60.47
NGC4100	19.5	12.96	27.14	96.94	89.12	109.34	0.6	0.48	0.72	0	0	0	116.93
NGC4138	13.67	7.47	23.63	96.33	75.67	144.21	0.65	0.47	0.82	0.73	0.47	1.11	50.55
